VIN,Year,Make,Model,Trim,Mileage,Price,Stock #,Body Style,Drivetrain,Exterior Color,Interior Color
3GN7DSRP6SS140913,2025,Chevrolet,Equinox EV,RS,4065.0,CALL FOR PRICING & AVAILABILITY,P58996,,,,
LRBFXBSA7KD146008,2019,Buick,Envision,Preferred,106.253,14595,P58977A,,,,
5NPEH4J28LH021739,2020,Hyundai,Sonata,Limited,51877.0,20746,P59000,,,,
5NPLP4AG6NH059477,2022,Hyundai,Elantra,Limited,51086.0,19995,P58999,,,,
YV4L12RK3N1021126,2022,Volvo,XC60,Momentum,42783.0,30768,P58998,,,,
1GTU9EET3MZ435443,2021,GMC,Sierra 1500,AT4,46852.0,43438,P59003,,,,
1C4GJXAG5MW842447,2021,Jeep,Wrangler,Willys,36088.0,29513,260022A,,,,
1GNEVKKW7LJ237966,2020,Chevrolet,Traverse,Premier,95012.0,25100,250457A,,,,
JN8AF0BE1SM462918,2025,Nissan,ARIYA,ENGAGE,2366.0,27612,P59014,,,,
WVWDR7AN3KE027452,2019,Volkswagen,Arteon,SEL,76168.0,22658,P59013,,,,
2C3CDZJG6PH503639,2023,Dodge,Challenger,GT,57012.0,25469,P59028,,,,
1FTER4FH1LLA40090,2020,Ford,Ranger,XLT,55515.0,30461,P59026,,,,
19XFC1F34ME209358,2021,Honda,Civic Sedan,EX,37849.0,23670,P59024,,,,
3VW447AU5JM265041,2018,Volkswagen,Golf GTI,S,55985.0,22995,P59030,,,,
1G1YB2D75G5107874,2016,Chevrolet,Corvette Stingray,1LT,6978.0,46995,P59034,,,,
KNDRMDLH1N5077989,2022,Kia,Sorento Plug In Hybrid,SX Prestige,50694.0,32781,P58950A,,,,
1C6RR7LG4NS204026,2022,RAM,1500 Classic,Warlock,55476.0,30307,P59038,,,,
1FTEW1E59JKD82307,2018,Ford,F 150,XLT,110878.0,20958,250592A,,,,
1FDWE3FK0NDC12771,2022,Ford,E Series Cutaway,,87360.0,30325,P59042,,,,
WP1AA2A50NLB03883,2022,Porsche,Macan, ,43365.0,42871,P59044,,,,
WUACSAFV2J1902017,2018,Audi,TT RS, ,56644.0,47164,250445Y,,,,
1N4BL4CV4MN415254,2021,Nissan,Altima,25 SR,45512.0,22611,P59049Y,,,,
1GC4K0C89FF533418,2015,Chevrolet,Silverado 3500 HD,LTZ,84570.0,43995,180725B,,,,
2C4RC1FG2RR116795,2024,Chrysler,Pacifica,Touring,37235.0,31105,P59051,,,,
1C4SDJCT0RC185588,2024,Dodge,Durango,RT Plus,28385.0,41436,P59053,,,,
1V2HR2CA1SC518210,2025,Volkswagen,Atlas,20T SE wTechnology,26416.0,34895,P59052,,,,
WD3PG2EA0H3235767,2017,Mercedes Benz,Metris Cargo Van, ,128474.0,16952,250424A,,,,
KL77LJEP9SC121318,2025,Chevrolet,Trax,2RS,4252.0,26663,250094,,,,
2HGFE1E55SH473897,2025,Honda,Civic Si, ,13303.0,32895,P59068,,,,
5YJXCDE22KF160957,2019,Tesla,Model X,Long Range AWD,69615.0,34785,P59069,,,,
1FTEW1EG9JKF80399,2018,Ford,F 150,XLT,75721.0,26995,250294A,,,,
JM3KFBCM5J0325219,2018, ,Mazda CX 5,Touring,118024.0,15995,240113A,,,,
1FMCU9GD1JUB14836,2018,Ford,Escape,SE,115211.0,11995,P59081,,,,
1FTFW1CT8DKF38735,2013,Ford,F 150,XL,125313.0,13995,P59082,,,,
5UXUJ5C56KLA93600,2019,BMW,X4,M40i,43854.0,34995,P59073,,,,
5XYP6DGC4RG489109,2024,Kia,Telluride,S,38294.0,8237,P58883A,,,,
1G1YB2D45R5107107,2024,Chevrolet,Corvette Stingray,2LT,2085.0,71989,P59092,,,,
3VWGB7BU4LM069645,2020,Volkswagen,Jetta,SEL Premium,66182.0,17579,260077A,,,,
KL77LHE24RC041500,2024,Chevrolet,Trax,LT,50150.0,20995,P59095,,,,
5NMJBCDE6SH495491,2025,Hyundai,Tucson,SEL,19385.0,24995,P59098,,,,
5YJ3E1EB9KF493664,2019,Tesla,Model 3,Long Range,55531.0,23995,P59100,,,,
5FPYK3F58PB018640,2023,Honda,Ridgeline,RTL,24639.0,32105,250275C,,,,
JF1VBAB63R9801026,2024,Subaru,WRX, ,14717.0,28990,250502A,,,,
19UUB6F55MA000756,2021,Acura,TLX,wA Spec Package,49901.0,32892,P59027A,,,,
1FD8W3HT3NEC92525,2022,Ford,Super Duty F 350 DRW,XL,72351.0,44595,P59103,,,,
3C63RRHL7RG289450,2024,RAM,3500,Big Horn,51964.0,54995,P59104,,,,
5YJ3E1EA2MF027391,2021,Tesla,Model 3,Standard Range Plus,25394.0,28911,P59105,,,,
3GNKDERL8SS136788,2025,Chevrolet,Blazer EV,SS,7504.0,49984,P59107,,,,
2T3BFREV7FW250002,2015,Toyota,RAV4,LE,140797.0,14499,260102A,,,,
