VIN,Year,Make,Model,Trim,Mileage,Price,Stock #,Body Style,Drivetrain,Exterior Color,Interior Color,Vehicle URL,Main Image URL,Image URL 2,Image URL 3,Image URL 4,Image URL 5
1G1FG1R77P0107819,2023,Chevrolet,Camaro,2SS,88.0,62818,P58794,,,,,https://www.goodchev.com/used-Renton-2023-Chevrolet-Camaro-2SS-1G1FG1R77P0107819,/vehicles/P58794_1.jpg,,,,
3D3KS28AX8G127882,2008,Dodge,Ram 2500,Laramie,99020.0,28373,P58791,,,,,https://www.goodchev.com/used-Renton-2008-Dodge-Ram+2500-Laramie-3D3KS28AX8G127882,/vehicles/P58791_1.jpg,,,,
1C4PJMAB8HW600566,2017,Jeep,Cherokee,Altitude,58073.0,14995,240310B,,,,,https://www.goodchev.com/used-Renton-2017-Jeep-Cherokee-Altitude-1C4PJMAB8HW600566,/vehicles/240310B_1.jpg,,,,
1FT8W3BT3MEC64624,2021,Ford,Super Duty F 350 SRW,Platinum,33893.0,69132,P5775A,,,,,https://www.goodchev.com/used-Renton-2021-Ford-Super+Duty+F+350+SRW-Platinum-1FT8W3BT3MEC64624,/vehicles/P5775A_1.jpg,,,,
LRBFX3SX8KD098951,2019,Buick,Envision,Premium,16132.0,24570,P58111B,,,,,https://www.goodchev.com/used-Renton-2019-Buick-Envision-Premium-LRBFX3SX8KD098951,/vehicles/P58111B_1.jpg,,,,
1GNSKDKD1PR418168,2023,Chevrolet,Suburban,Z71,53483.0,60437,P58845,,,,,https://www.goodchev.com/used-Renton-2023-Chevrolet-Suburban-Z71-1GNSKDKD1PR418168,/vehicles/P58845_1.jpg,,,,
KL77LHE20RC084568,2024,Chevrolet,Trax,LT,7846.0,22438,240060,,,,,https://www.goodchev.com/used-Renton-2024-Chevrolet-Trax-LT-KL77LHE20RC084568,/vehicles/240060_1.jpg,,,,
1FTEX1CP9KKD08887,2019,Ford,F 150,XL,80708.0,18795,P58880,,,,,https://www.goodchev.com/used-Renton-2019-Ford-F+150-XL-1FTEX1CP9KKD08887,/vehicles/P58880_1.jpg,,,,
2GNAXTEV1M6142108,2021,Chevrolet,Equinox,LT,48263.0,20479,P58879,,,,,https://www.goodchev.com/used-Renton-2021-Chevrolet-Equinox-LT-2GNAXTEV1M6142108,/vehicles/P58879_1.jpg,,,,
3FTTW8J99RRA70407,2024,Ford,Maverick,XLT,17009.0,31895,P58878,,,,,https://www.goodchev.com/used-Renton-2024-Ford-Maverick-XLT-3FTTW8J99RRA70407,/vehicles/P58878_1.jpg,,,,
2HGFB2F80DH526466,2013,Honda,Civic Sdn,EX,95399.0,15995,P57941A,,,,,https://www.goodchev.com/used-Renton-2013-Honda-Civic+Sdn-EX-2HGFB2F80DH526466,/vehicles/P57941A_1.jpg,,,,
KL77LFE25RC126933,2024,Chevrolet,Trax,LS,19710.0,20668,P58095,,,,,https://www.goodchev.com/used-Renton-2024-Chevrolet-Trax-LS-KL77LFE25RC126933,/vehicles/P58095_1.jpg,,,,
KL79MPSL7NB084032,2022,Chevrolet,Trailblazer,LT,23112.0,21771,P58904,,,,,https://www.goodchev.com/used-Renton-2022-Chevrolet-Trailblazer-LT-KL79MPSL7NB084032,/vehicles/P58904_1.jpg,,,,
KNDRHDLG6P5171171,2023,Kia,Sorento Hybrid,EX,19728.0,32132,P58909,,,,,https://www.goodchev.com/used-Renton-2023-Kia-Sorento+Hybrid-EX-KNDRHDLG6P5171171,/vehicles/P58909_1.jpg,,,,
3VV5X7B25RM037727,2024,Volkswagen,Taos,S,38699.0,20898,P58906,,,,,https://www.goodchev.com/used-Renton-2024-Volkswagen-Taos-S-3VV5X7B25RM037727,/vehicles/P58906_1.jpg,,,,
5XYK6CDF3RG160100,2024,Kia,Sportage,X Line,24006.0,28591,250233A,,,,,https://www.goodchev.com/used-Renton-2024-Kia-Sportage-X+Line-5XYK6CDF3RG160100,/vehicles/250233A_1.jpg,,,,
1GYKPFRS7MZ137735,2021,Cadillac,XT6,Premium Luxury,58121.0,30890,250446A,,,,,https://www.goodchev.com/used-Renton-2021-Cadillac-XT6-Premium+Luxury-1GYKPFRS7MZ137735,/vehicles/250446A_1.jpg,,,,
KL77LFE26RC224482,2024,Chevrolet,Trax,LS,28324.0,21079,P58850A,,,,,https://www.goodchev.com/used-Renton-2024-Chevrolet-Trax-LS-KL77LFE26RC224482,/vehicles/P58850A_1.jpg,,,,
1G1JC5SG3F4126012,2015,Chevrolet,Sonic,LT,115584.0,8459,250370A,,,,,https://www.goodchev.com/used-Renton-2015-Chevrolet-Sonic-LT-1G1JC5SG3F4126012,/vehicles/250370A_1.jpg,,,,
2C3CDXBG2PH592452,2023,Dodge,Charger,SXT,58554.0,22339,P58919,,,,,https://www.goodchev.com/used-Renton-2023-Dodge-Charger-SXT-2C3CDXBG2PH592452,/vehicles/P58919_1.jpg,,,,
KM8R4DHE7MU298429,2021,Hyundai,Palisade,SEL,37972.0,29923,P58922,,,,,https://www.goodchev.com/used-Renton-2021-Hyundai-Palisade-SEL-KM8R4DHE7MU298429,/vehicles/P58922_1.jpg,,,,
1G1FK1R69P0138110,2023,Chevrolet,Camaro,ZL1,14733.0,81999,P58624A,,,,,https://www.goodchev.com/used-Renton-2023-Chevrolet-Camaro-ZL1-1G1FK1R69P0138110,/vehicles/P58624A_1.jpg,,,,
1GD32VCY7JF264915,2018,GMC,Sierra 3500 HD Chassis Cab, ,94909.0,,P57913A,,,,,https://www.goodchev.com/used-Renton-2018-GMC-Sierra+3500+HD+Chassis+Cab-+-1GD32VCY7JF264915,/vehicles/P57913A_1.jpg,,,,
1C6RR7YT7GS397426,2016,RAM,1500,Rebel,97800.0,25785,P58945,,,,,https://www.goodchev.com/used-Renton-2016-RAM-1500-Rebel-1C6RR7YT7GS397426,/vehicles/P58945_1.jpg,,,,
